zaak,opdrachtgever,debiteur_type,fase_basenet,hoofdsom,betaald,open_ruw,rente,voorstel_stap,toelichting,vlaggen
IN100415,SYN Finance 1 B.V.,b2b,Eng 4e sommatie verstuurd,1635.85,325.00,1310.85,commercial,Voorstel dagvaarding,,
IN100416,SYN Finance 1 B.V.,b2b,Eng 4e sommatie verstuurd,5000.00,0.00,5000.00,commercial,Voorstel dagvaarding,,
IN100421,Incassocenter B.V.,b2b,B2C 1e sommatie verstuurd,433.50,0.00,433.50,commercial,Tweede sommatie,,
IN100422,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,423.50,0.00,423.50,commercial,Voorstel dagvaarding,,
IN100423,Incassocenter B.V.,b2b,Vordering betwist,605.00,0.00,605.00,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100427,Incassocenter B.V.,b2c,14-dagen brief,91.13,0.00,91.13,statutory,14-dagenbrief,,
IN100430,Incassocenter B.V.,b2b,Bijhouden regelingen,605.44,0.00,605.44,commercial,Bijhouden regeling,actieve betalingsregeling,
IN100432,COLLECT 1 B.V.,b2b,Regeling treffen,119.79,0.00,119.79,commercial,Treffen van regeling,,
IN100433,Incassocenter B.V.,b2b,Vordering betwist,1346.54,0.00,1346.54,commercial,Verweer beantwoorden,,creditfactuur-rente; verweer-vinkje zetten
IN100435,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,1600.93,0.00,1600.93,commercial,Voorstel dagvaarding,,
IN100438,Incassocenter B.V.,b2b,Bijhouden regelingen,393.25,0.00,393.25,commercial,BEOORDELEN: regeling gestopt/afgelopen,,
IN100439,COLLECT 1 B.V.,b2b,Eng 4e sommatie verstuurd,1500.00,0.00,1500.00,commercial,Voorstel dagvaarding,,
IN100441,Incassocenter B.V.,b2b,Vordering betwist,858.32,0.00,858.32,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100442,COLLECT 1 B.V.,b2b,Vordering betwist,1952.13,0.00,1952.13,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100445,Incassocenter B.V.,b2b,Vordering betwist,833.19,0.00,833.19,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100447,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,1284.95,0.00,1284.95,commercial,Voorstel dagvaarding,,creditfactuur-rente
IN100448,COLLECT 1 B.V.,b2b,Vordering betwist,1779.49,0.00,1779.49,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100449,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,1544.07,0.00,1544.07,commercial,Voorstel dagvaarding,,creditfactuur-rente
IN100450,Incassocenter B.V.,b2b,Vordering betwist,2656.01,0.00,2656.01,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100451,Incassocenter B.V.,b2b,Vordering betwist,4961.24,0.00,4961.24,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100454,Incassocenter B.V.,b2b,Bijhouden regelingen,1560.23,1494.30,65.93,commercial,Bijhouden regeling,actieve betalingsregeling,
IN100456,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,393.25,452.24,-58.99,commercial,NIET HEROPENEN,feitelijk voldaan — afsluiten bevestigen,
IN100457,COLLECT 1 B.V.,b2b,Bijhouden regelingen,393.25,393.25,0.00,commercial,NIET HEROPENEN,feitelijk voldaan — afsluiten bevestigen,
IN100458,LegalWork B.V.,b2b,Vordering betwist,8978.21,0.00,8978.21,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100459,COLLECT 1 B.V.,b2b,Regeling treffen,707.85,0.00,707.85,commercial,Treffen van regeling,,creditfactuur-rente
IN100460,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,211.75,0.00,211.75,commercial,Voorstel dagvaarding,,
IN100462,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,1082.95,0.00,1082.95,commercial,Voorstel dagvaarding,,
IN100463,COLLECT 1 B.V.,b2b,B2C 1e sommatie verstuurd,1536.70,0.00,1536.70,commercial,Tweede sommatie,,
IN100465,Incassocenter B.V.,b2b,Vordering betwist,491.88,0.00,491.88,commercial,Verweer beantwoorden,,creditfactuur-rente; verweer-vinkje zetten
IN100467,Incassocenter B.V.,b2c,14-dagen brief,935.99,0.00,935.99,statutory,14-dagenbrief,,
IN100468,Incassocenter B.V.,b2b,Procederen?,285.08,0.00,285.08,commercial,Voorstel dagvaarding,,
IN100469,COLLECT 1 B.V.,b2b,Bijhouden regelingen,2722.50,992.81,1729.69,commercial,BEOORDELEN: regeling gestopt/afgelopen,,creditfactuur-rente
IN100474,Incassocenter B.V.,b2b,Vordering betwist,3174.28,0.00,3174.28,commercial,Verweer beantwoorden,,creditfactuur-rente; verweer-vinkje zetten
IN100475,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,1756.74,0.00,1756.74,commercial,Voorstel dagvaarding,,
IN100476,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,2530.64,0.00,2530.64,commercial,Voorstel dagvaarding,,
IN100478,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,2163.83,0.00,2163.83,commercial,Voorstel dagvaarding,,
IN100479,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,1197.90,0.00,1197.90,commercial,Voorstel dagvaarding,,
IN100480,COLLECT 1 B.V.,b2b,Factureren,2246.49,0.00,2246.49,commercial,AFRONDEN: factureren + sluiten,,
IN100482,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,169.40,0.00,169.40,commercial,Voorstel dagvaarding,,creditfactuur-rente
IN100483,LegalWork B.V.,b2b,Vordering betwist,24515.28,0.00,24515.28,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100484,COLLECT 1 B.V.,b2b,B2C 1e sommatie verstuurd,5967.82,0.00,5967.82,commercial,Tweede sommatie,,
IN100485,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,1567.98,0.00,1567.98,commercial,14-dagenbrief,,
IN100486,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,13942.83,0.00,13942.83,commercial,Derde sommatie,,
IN100488,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,1197.90,0.00,1197.90,commercial,Voorstel dagvaarding,,
IN100489,COLLECT 1 B.V.,b2b,Vordering betwist,428.68,211.75,216.93,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100490,COLLECT 1 B.V.,b2b,Bijhouden regelingen,1408.95,0.00,1408.95,commercial,BEOORDELEN: regeling gestopt/afgelopen,,
IN100493,Incassocenter B.V.,b2c,14-dagen brief,954.34,0.00,954.34,statutory,14-dagenbrief,,
IN100494,Incassocenter B.V.,b2b,Bijhouden regelingen,2320.52,0.00,2320.52,commercial,Bijhouden regeling,actieve betalingsregeling,
IN100495,Incassocenter B.V.,b2b,B2B 4e sommatie verstuurd,4431.64,0.00,4431.64,commercial,Voorstel dagvaarding,,
IN100497,Incassocenter B.V.,b2b,Bijhouden regelingen,3290.16,3192.00,98.16,commercial,Bijhouden regeling,actieve betalingsregeling,
IN100498,Incassocenter B.V.,b2c,Vordering betwist,2505.27,0.00,2505.27,statutory,Verweer beantwoorden,,verweer-vinkje zetten
IN100499,Incassocenter B.V.,b2c,Vordering betwist,3150.84,0.00,3150.84,statutory,Verweer beantwoorden,,verweer-vinkje zetten
IN100500,Incassocenter B.V.,b2c,Bijhouden regelingen,1437.51,528.56,908.95,statutory,BEOORDELEN: regeling gestopt/afgelopen,,
IN100501,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,768.35,0.00,768.35,commercial,Voorstel dagvaarding,,
IN100502,INC Zakelijk B.V.,b2b,B2B 4e sommatie verstuurd,19996.34,0.00,19996.34,commercial,Voorstel dagvaarding,,creditfactuur-rente
IN100504,LegalWork B.V.,b2b,B2B 4e sommatie verstuurd,18180.25,0.00,18180.25,commercial,Voorstel dagvaarding,,
IN100505,COLLECT 1 B.V.,b2b,Bijhouden regelingen,902.12,267.80,634.32,commercial,Bijhouden regeling,actieve betalingsregeling,creditfactuur-rente
IN100507,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,885.12,0.00,885.12,commercial,Voorstel dagvaarding,,
IN100510,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,2935.50,0.00,2935.50,commercial,Voorstel dagvaarding,,
IN100511,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,1081.62,0.00,1081.62,commercial,Voorstel dagvaarding,,creditfactuur-rente
IN100512,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,2587.44,0.00,2587.44,commercial,Voorstel dagvaarding,,
IN100513,COLLECT 1 B.V.,b2b,B2B 3e sommatie verstuurd,417.41,0.00,417.41,commercial,Sommatie laatste mogelijkheid,,
IN100515,COLLECT 1 B.V.,b2b,Regeling treffen,3025.00,0.00,3025.00,commercial,Treffen van regeling,,
IN100516,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,768.35,0.00,768.35,commercial,Voorstel dagvaarding,,
IN100518,COLLECT 1 B.V.,b2b,Regeling treffen,1082.95,0.00,1082.95,commercial,Treffen van regeling,,
IN100520,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,768.35,0.00,768.35,commercial,Voorstel dagvaarding,,
IN100521,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,65904.96,0.00,65904.96,contractual 2.00%,Voorstel dagvaarding,,proefzaak (al open)
IN100523,COLLECT 1 B.V.,b2b,Vordering betwist,3025.00,0.00,3025.00,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100524,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,1620.01,0.00,1620.01,commercial,Voorstel dagvaarding,,
IN100525,COLLECT 1 B.V.,b2b,Vordering betwist,2543.69,360.00,2183.69,commercial,Verweer beantwoorden,,creditfactuur-rente; verweer-vinkje zetten
IN100527,LegalWork B.V.,b2b,B2B 4e sommatie verstuurd,2952.82,0.00,2952.82,commercial,Voorstel dagvaarding,,
IN100528,CM Zakelijk B.V.,b2b,Vordering betwist,2305.05,0.00,2305.05,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100529,CM Zakelijk B.V.,b2b,Vordering betwist,916.90,0.00,916.90,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100530,CM Zakelijk B.V.,b2b,B2B 2e sommatie verstuurd,1215.92,0.00,1215.92,commercial,Derde sommatie,,
IN100531,CM Zakelijk B.V.,b2b,Vordering betwist,3491.22,0.00,3491.22,commercial,Verweer beantwoorden,,creditfactuur-rente; verweer-vinkje zetten
IN100532,CM Zakelijk B.V.,b2b,B2B 4e sommatie verstuurd,768.35,0.00,768.35,commercial,Voorstel dagvaarding,,
IN100533,CM Zakelijk B.V.,b2b,Vordering betwist,540.62,0.00,540.62,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100535,COLLECT 1 B.V.,b2b,Regeling treffen,2341.35,0.00,2341.35,commercial,Bijhouden regeling,actieve betalingsregeling,
IN100536,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,1529.14,0.00,1529.14,commercial,Derde sommatie,,
IN100539,COLLECT 1 B.V.,b2b,B2C 4e sommatie verstuurd,1565.00,0.00,1565.00,commercial,Voorstel dagvaarding,,creditfactuur-rente
IN100540,Verfijnd Bouw & Onderhoudsbedrijf B.V.,b2c,Vordering betwist,34969.00,6069.00,28900.00,statutory,Verweer beantwoorden,,verweer-vinkje zetten
IN100541,Verfijnd Bouw & Onderhoudsbedrijf B.V.,b2b,Vordering betwist,2487.84,0.00,2487.84,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100542,COLLECT 1 B.V.,b2b,B2C 1e sommatie verstuurd,1202.73,0.00,1202.73,commercial,Tweede sommatie,,
IN100543,Incassocenter B.V.,b2b,B2C 3e sommatie verstuurd,338.50,0.00,338.50,commercial,Bijhouden regeling,actieve betalingsregeling,
IN100545,Incassocenter B.V.,b2b,B2C 3e sommatie verstuurd,1014.49,0.00,1014.49,commercial,Sommatie laatste mogelijkheid,,
IN100547,LegalWork B.V.,b2b,Factureren,937.75,1133.43,-195.68,commercial,NIET HEROPENEN,feitelijk voldaan — afsluiten bevestigen,
IN100550,COLLECT 1 B.V.,b2b,B2C 1e sommatie verstuurd,881.85,0.00,881.85,commercial,Tweede sommatie,,creditfactuur-rente
IN100551,COLLECT 1 B.V.,b2b,B2C 3e sommatie verstuurd,393.25,0.00,393.25,commercial,Sommatie laatste mogelijkheid,,
IN100553,COLLECT 1 B.V.,b2b,Bijhouden regelingen,812.36,356.00,456.36,commercial,BEOORDELEN: regeling gestopt/afgelopen,,creditfactuur-rente
IN100554,COLLECT 1 B.V.,b2b,B2C 3e sommatie verstuurd,393.25,0.00,393.25,commercial,Sommatie laatste mogelijkheid,,
IN100555,De heer D. Koppen h.o.d.n. D-Break,b2b,Vordering betwist,0.00,0.00,0.00,commercial,NIET HEROPENEN,D-Break: blijft dicht (besluit Arsalan),verweer-vinkje zetten
